Session ID Occasion Detector
MatakitakiStoats 1 1 A9
MatakitakiStoats 2 1 A12
MatakitakiStoats 8 1 F6
MatakitakiStoats 2 2 A12
MatakitakiStoats 9 2 A4
MatakitakiStoats 10 2 C5
MatakitakiStoats 11 2 D4
MatakitakiStoats 3 3 C6
MatakitakiStoats 4 3 G3
MatakitakiStoats 7 3 F5
MatakitakiStoats 12 3 D7
MatakitakiStoats 13 3 E5
MatakitakiStoats 14 3 F1
MatakitakiStoats 15 3 F9
MatakitakiStoats 16 3 G13
MatakitakiStoats 3 4 B5
MatakitakiStoats 5 4 F2
MatakitakiStoats 17 4 G9
MatakitakiStoats 4 5 F3
MatakitakiStoats 5 5 E2
MatakitakiStoats 16 5 F13
MatakitakiStoats 6 6 E8
MatakitakiStoats 7 6 G7
MatakitakiStoats 13 6 E4
MatakitakiStoats 14 6 G3
MatakitakiStoats 16 6 G13
MatakitakiStoats 18 6 F1
MatakitakiStoats 19 6 G9
MatakitakiStoats 5 7 F1
MatakitakiStoats 20 7 G8
