Detector  x  y
A1 -1500 -1500
A2 -1500 -1250
A3 -1500 -1000
A4 -1500 -750
A5 -1500 -500
A6 -1500 -250
A7 -1500 0
A8 -1500 250
A9 -1500 500
A10 -1500 750
A11 -1500 1000
A12 -1500 1250
A13 -1500 1500
A14 -1250 1500
B1 -1000 -1500
B2 -1000 -1250
B3 -1000 -1000
B4 -1000 -750
B5 -1000 -500
B6 -1000 -250
B7 -1000 0
B8 -1000 250
B9 -1000 500
B10 -1000 750
B11 -1000 1000
B12 -1000 1250
B13 -1000 1500
C1 -500 -1500
C2 -500 -1250
C3 -500 -1000
C4 -500 -750
C5 -500 -500
C6 -500 -250
C7 -500 0
C8 -500 250
C9 -500 500
C10 -500 750
C11 -500 1000
C12 -500 1250
C13 -500 1500
C14 -250 1500
D1 0 -1500
D2 0 -1250
D3 0 -1000
D4 0 -750
D5 0 -500
D6 0 -250
D7 0 0
D8 0 250
D9 0 500
D10 0 750
D11 0 1000
D12 0 1250
D13 0 1500
E1 500 -1500
E2 500 -1250
E3 500 -1000
E4 500 -750
E5 500 -500
E6 500 -250
E7 500 0
E8 500 250
E9 500 500
E10 500 750
E11 500 1000
E12 500 1250
E13 500 1500
E14 750 1500
F1 1000 -1500
F2 1000 -1250
F3 1000 -1000
F4 1000 -750
F5 1000 -500
F6 1000 -250
F7 1000 0
F8 1000 250
F9 1000 500
F10 1000 750
F11 1000 1000
F12 1000 1250
F13 1000 1500
G1 1500 -1500
G2 1500 -1250
G3 1500 -1000
G4 1500 -750
G5 1500 -500
G6 1500 -250
G7 1500 0
G8 1500 250
G9 1500 500
G10 1500 750
G11 1500 1000
G12 1500 1250
G13 1500 1500
